,Hotel name,Min price,Stars,Chech in/out,Comments, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,     TV,     Ավտոկայանատեղի ,     Wi-Fi ինտերնետ,     Ֆեն,     Կոնֆերանս Դահլիճ,     Օդորակիչ,     Նախաճաշ,     Սեյֆ,     Մինիբար,     Զգեստապահարան,     Հեռախոս,     Սեղան/Գրասեղան,    Լողասենյակ , Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground, Fitness, Table/Desk, Billiards, Refrigerator, SPA, Kitchen, Grill/BBQ, Garden, Table tennis, Cottages, Kid's room, FB meal, HB meal, Microwave, Pets allowed, Tennis
0,Europe Hotel Artsakh,25000,4,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R & R Ինն Հյուրանոց,14000,3,"Ժամանում: 14:00
Մեկնում: 12:00",0,,,,,,,,,,,     TV,     Ավտոկայանատեղի ,     Wi-Fi ինտերնետ,     Ֆեն,     Կոնֆերանս Դահլիճ,     Օդորակիչ,     Նախաճաշ,     Սեյֆ,     Մինիբար,     Զգեստապահարան,     Հեռախոս,     Սեղան/Գրասեղան,    Լողասենյակ ,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ibis Yerevan Center Hotel,,3,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom,,,,,,,,,,,,,,,,,,
3,Aghababyan's Hotel,28900,5,"Check in: 14:00
Check out: 12:00",3, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning,, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe, Minibar,, Phone, Bathroom, Dryer, Playground, Fitness, Table/Desk, Billiards,,,,,,,,,,,,,
4,Yerevan Deluxe Hotel,15000,3,"Check in: 13:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,,,,,,,,,,,,,,,,,,,, Room service,,,, Phone,, Dryer, Playground,, Table/Desk,, Refrigerator,,,,,,,,,,,,
5,Comfort Hotel,23000,3,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom,,,,,,,,,,,,,,,,,,
6,14-th Floor Hotel,39600,0,"Check in: 15:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast,, Jacuzzi, Restaurant,,,,,,,,,,,,,,, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,,,,,,,,,,,,,,
7,Good Hotel Yerevan,14500,1,"Check in: 14:00
Check out: 12:00",0, TV,,, Wi-Fi,, Air Conditioning,,,,,,,,,,,,,,,,,,,, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer,,,,, Refrigerator,,,,,,,,,,,,
8,Nacho Hotel Yerevan,45000,4,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room,, Breakfast,,, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe, Minibar,,,,,,,,,,,,,,,,,,,,,
9,Ani Central Inn Hotel,25000,4,"Check in: 14:00
Check out: 12:00",0, TV, Pool,, Wi-Fi,, Air Conditioning,,,,,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe, Phone, Bathroom,,,, Table/Desk,,, SPA,,,,,,,,,,,
10,Capital Hotel,13000,3,"Check in: 14:00
Check out: 12:00",0, TV, Pool,, Wi-Fi,,,, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,,,,,,,,,,,,,,,,,,,,,,
11,Tigran Mets Hotel,19000,3,"Check in: 14:00
Check out: 12:00",0, TV,,, Wi-Fi,,,, Cafe,,,,,,,,,,,,,,,,,,,,, Phone, Bathroom,,,, Table/Desk,,,,,,,,,,,,,,
