,Air Conditioning,Bathroom,Billiards,Breakfast,Cafe,Comments,Conference Room,Cottages,Dryer,FB meal,Fitness,Garden,Grill/BBQ,HB meal,Hotel name,Jacuzzi,Kid's room,Kitchen,Laundry,Microwave,Min price,Minibar,Parking,Pets allowed,Phone,Playground,Pool,Refrigerator,Restaurant,Room service,SPA,Safe,Stars,Table tennis,Table/Desk,Tennis,Wardrobe,Wi-Fi,Chech in,Chech out
0,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Europe Hotel Artsakh, Jacuzzi,not available,not available,not available,not available,25000.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant,not available,not available,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
1,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,R & R Ինն Հյուրանոց,not available,not available,not available,not available,not available,14000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
3,Air Conditioning,Bathroom, Billiards,Breakfast, Cafe,3,Conference Room,not available,Dryer,not available, Fitness,not available,not available,not available,Aghababyan's Hotel, Jacuzzi,not available,not available, Laundry,not available,28900.0,Minibar,Parking,not available,Phone, Playground, Pool,not available, Restaurant, Room service,not available,Safe,5,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
4,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Yerevan Deluxe Hotel,not available,not available,not available,not available,not available,15000.0,Minibar,Parking,not available,Phone, Playground,not available, Refrigerator,not available, Room service,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 13:00:00,2022-05-02 12:00:00
5,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Comfort Hotel,not available,not available,not available, Laundry,not available,23000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
6,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,14-th Floor Hotel, Jacuzzi,not available,not available,not available,not available,39600.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 15:00:00,2022-05-02 12:00:00
7,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Good Hotel Yerevan,not available,not available,not available,not available,not available,14500.0,Minibar,Parking,not available,Phone,not available,not available, Refrigerator,not available,not available,not available,Safe,1,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
8,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Nacho Hotel Yerevan,not available,not available,not available, Laundry,not available,45000.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant, Room service,not available,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
9,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Ani Central Inn Hotel,not available,not available,not available, Laundry,not available,25000.0,Minibar,Parking,not available,Phone,not available, Pool,not available,not available, Room service, SPA,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
10,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Capital Hotel,not available,not available,not available, Laundry,not available,13000.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant, Room service,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
11,Air Conditioning,Bathroom,not available,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Tigran Mets Hotel,not available,not available,not available,not available,not available,19000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
12,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Elysium Gallery Hotel,not available,not available,not available,not available,not available,13000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
13,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available, Fitness,not available,not available,not available,Metropol Hotel,not available,not available,not available,not available,not available,32500.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant,not available,not available,Safe,4,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
